Question,Answer
<b>감기 초기 증상</b>,어제 비를 맞고 새벽에 창문열어둬서 차가운 바람 쒜고 잤고 아침에 일어나니까 코막히고 열은 안나는데 머리가 깨질듯이 아프고 그러는데 <b>감기 초기 증상</b>인가요? 열도 날수 있는 상황인건가요?  안녕하세요. 하이닥-네이버 지식iN... 
이거 <b>감기 초기 증상</b>인가영,... <b>증상</b>들을 보면 충분히 <b>감기</b>에 걸렸을 때 나타나는 <b>증상</b>들과 흡사한 편이랍니다. 때문에 정확한 원인을 파악하기 위해서는 가까운 병원에 내원하여 검사를 받는 것이 좋을 것으로 판단됩니다. 감사합니다.
<b>감기 초기증상</b>?,... 은행발효식초 만으로 기침이나 <b>감기</b> 코로나 <b>증상</b>에도 아주 효과가 있습니다. 10년이상 발효숙성된 은행식초는 부작용이 없어 임산부나 젖먹이 어린이 노약자 심지어 목에 삽관을 한 환자도 마음놓고 드실수 있는 식품허가가 난... 
판콜 판피린 <b>감기 초기증상</b>으로 종합감기약,판콜 판피린 <b>감기 초기증상</b>으로 종합감기약으로 알고 있는데요 그중 좀더 효과 먼저인거 대표로 하나씩만 알려주세요 예를들면 판콜A...가래 판콜S...기침 이런식으로요 부탁드립니다 판콜A... 판콜S... 판피린Q... 판피린T...... 
자려는데 목<b>감기 초기 증상</b> 때문에 못 자요,"... 목<b>감기 초기 증상</b>(기침 하기 전 가루 들어간 것 같은 답답하고 근질한 느낌) 때문에 잠을 못 자겠어서 최대한 해결할 수 있는 해결방법이 있을까요? 2.가족들 대부분이 감기 증상(기침, 콧물)이 있는데 제가 나아도 다시 걸릴 것 같아요... "
목<b>감기 초기 증상</b> 같이 목이 살짝 아,목<b>감기 초기 증상</b> 같이 목이 살짝 아픈데요 침 삼킬때 턱 밑도 같이 아파요 살짝요 침도 좀 고이고 왜 그런거죠 우리 신체의 일부인 입과 코에는 외부의 유해균을 막는 &quot;점액&quot;이라는 물질이 있습니다. 이 점액이 건조해지거나 기능이... 
목<b>감기 초기 증상</b>인가요?,"... 이거에 대해서 답변 부탁드러요  염려가 많으시겠습니다 일반적으로 추측하면서 판단하기에 정확한 상태를 스스로 알기는 힘듭니다 <b>감기</b>, 몸살일 수도 있습니다 면연력이 강해 지나갈수도 있습니다 <b>증상</b>이 심해지거나 힘드시면... "
<b>감기 초기 증상</b> 때 병원에서 무슨 검사하나요?,"... 그냥 열만 재고 끝나나요? 아님 목을 막대기로 쑤시나요?  일단 <b>감기</b> <b>증상</b>을 확인합니다. 콧물이 많이 나오는지 확인하구, 기래 많이 끼는가를 확인하구, 또 목이 많이 부었는지 확인하구 코 안도 확인합니다."
몸살<b>감기</b>처럼 몸이 안좋습니다 임신 <b>초기 증상</b>아니겠... ,사후피임약 먹은지 5일째인데 아직도 배 가운데쪽이 부글거리면서 좀 아프고 몸살<b>감기</b>처럼 몸이 안좋습니다 임신 <b>초기 증상</b>아니겠죠? 관계는 4월 30일날 하고 그 다음날 바로 사후피임약 먹었습니다 생리도 30일쯤 끝날 무렵이었구요... 
에이즈 <b>초기증상</b> 질문,"... 딱 <b>초기증상</b>이 나타나는 2주차에 <b>감기</b><b>증상</b>이 나타나서 무섭네요 <b>증상</b>은 미열,머리띵함이 하루정도 있다가 3일동안 편도가 부어 통증이있습니다 일반<b>감기</b>에 옮은것일까요 에이즈 <b>초기증상</b>일까요... 검사만이 답이다 이런말은... "
혹시 <b>감기 초기 증상</b>일까요ㅠㅠ 아까,혹시 <b>감기 초기 증상</b>일까요ㅠㅠ 아까 자기 전부터 몸이 근육통 걸릴 것처럼 뻣뻣?하게 아팠는데 자고 일어나니까 더 심해졌어요 그리고 집에 있는 가족들은 안 춥다는데 전 오들오들 거릴 정도로 너무 춥게 느껴져요 속도 계속... 
<b>감기초기증상</b>?,제가 오늘밤부터 갑자기 침삼킬때나 물마실때 귀랑 목이아프고 목에 가래낀느낌이 들어요 목소리도 약간변한거같고요 열은 없어요 <b>감기초기증상</b>인가요?? 저기 위에증상외에는 전혀없어요 증세로보면 감기.편도선염등 의심됩니다... 
<b>감기 초기증상</b>,하루종일 밖에서 돌아다니고 서있다 와서 집에 왔는데 혈액순환이 잘안돼는거 같고 몸이 으슬으슬 떨리고 추운데 이거 <b>감기 초기 증상</b>인가요?? 안녕하십니까? 지식iN 사룰입니다☜ 하루종일 밖에서 돌아다니고 서있다 와서 집에... 
<b>감기초기증상</b>인지 봐주세요,<b>감기초기증상</b>인지 봐주세요 그저께 밤에 문열고자서 아침에 일어났는데 목이 아팠습니다 그리고 어제는 목아프고 머리도 아프고 코가 슬슬 나기시작하더니 오늘은 미열도 있고 코가 미친듯이 나오는 증상이 추가됐어요 내일이면 감기가... 
임신 <b>초기</b> <b>감기</b><b>증상</b>,"... 임신 <b>초기</b> <b>감기</b><b>증상</b>답변드립니다^^안녕하세요. 하이닥-네이버 지식인 산부인과 상담을 하고 있는 전문의 심상인 입니다. 임신 가능성에 대해서 문의를 하셨군요. 생리시기, 성관계 날짜 등을 고려할 때 임신 가능성을 배제할 수... "
앵무새 <b>감기 초기증상</b>인가요?,... 걸린거 같아서 증상은 털을 부풀리고 있고 가끔 칙칙 거리고요 항문주변이 쪼금 더러워 졌어요 밥먹는 양도 조금 줄었고요 감기 걸린걸까요?  <b>감기 초기 증상</b>이 맞는것같아 보여요. 확실하진 않지만 특수동물병원에 데려가 보세요!
오른쪽이 아픈데 그냥 <b>감기 초기 증상</b>일까요?,"... 오른쪽 편도가 붓고 오른 팔이 저릿한데 그냥 <b>감기 초기 증상</b>일까요? 오른쪽 눈, 코에 건조함과 통증이 있고 입의 오른쪽만 헐었습니다. 오른쪽 편도가 붓고 오른 팔이 저릿한데 그냥 <b>감기 초기 증상</b>일까요? 쇼그랜 증후군이 비슷하게... "
앵무새 <b>감기초기 증상</b>인가요?,안녕하세요 저는 사랑앵무 한마리를 키우는 앵집사인데요 애기가 가끔 재채기를 하는거 같은데 콧물은 안나와요.항문주변이 조금 더럽고요 털도 좀 부풀리고 있어요.밥먹는 양도 좀 줄었고요.<b>감기 초기 증상</b>인가요?전문가... 
<b>감기초기증상</b>,코랑 귓속이 자꾸 간지러운데요 친구가 <b>감기 초기증상</b>이라는데 이거 긁어도 되는건가요? 병원 가야하나요? 감기가 복합적으로 오는듯 합니다. 가렵다고 긁지 마세요 귀는 중이염이나 외이도염이 걸리기 쉽습니다. 감기는 딴히 약이... 
콧물이 나고 목에 이물감이 있는데 <b>감기 초기증상</b>인가요?,어제 저녁부터 왼쪽 코에서 투명한 콧물이 나고 목에 이물감이 있는데 <b>감기 초기증상</b>인가요? 감기 같네요 내일 병원 문여는곳 가보세요 
<b>감기초기증상</b>,안녕하세요 목요일날 비맞으면서 축구하고 난 뒤 집에와서 따뜻하게 해놓고 뜨거운물로 씻었는데요 오늘 아침부터 몸이 <b>감기 초기증상</b> 처럼 열이조금나고 기운이 없습니다 기침같은건 아직 안하고 몸에 열만나고 콧물만... 
<b>감기 초기 증상</b>인가요?,... ㅋㅋ 잘 모르겠네요 아 그리고 원래 가래도 좀 끼는 편이였는데 칼칼해지니 더 많이 끼더라구요  네 요즘 <b>감기</b> 정말 유행입니다. 저도 질문자님과 비슷한 <b>증상</b> 겪고있습니다. 코로나는 별로 신경쓰실필요없어보입니다.
<b>감기 초기 증상</b> 약국 약,<b>감기 초기 증상</b> 약국 약 지금 시험이 1주일 남았는데 감기 기운이 있어요 ㅜㅜ 목이 불편한 정도인데 약국에서 사다 먹을 약 추천해주세요 ㅜㅠㅜㅜㅜ 너무 졸린 약은 피해주시면 감사하겠습니당 ㅜㅠ  안녕하세요. 네이버 지식iN 상담... 
목<b>감기 초기 증상</b>,목<b>감기 초기 증상</b>이 ... 우선 목감기면 목안이 부어서 목이 따끔거리시거나 걸걸하게 되셔요 그리고 멀 먹을 때도 평소와 달리 삼킬때 힘든 경우가 있어요 아무리 목감기라도 머리가 조금씩 어지럽거나 띵하고 속이 울렁거리고 열이... 
<b>감기 초기증상</b>,목이 간질간질하고 코가 한쪽만 막히고 눈물이 조금 나오고 재채기를 좀 많이하는데 <b>감기 초기증상</b>인가요 감기 제대로 오기전에 막 잠복기 같은건가요 아니면 비염이 조금 있는데 비염일까요  안녕하세요?... 
목<b>감기 초기 증상</b>인가요,어제 부터 목이 조금씩 아프고 코도 막히고 콧물도 피가 나올 정도로 나오고 밤에는 유독 목이 더 아파서 잠을 못 잤어요 목<b>감기 초기 증상</b>이 맞나요?  반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이... 
에이즈 <b>초기증상</b>,"... <b>초기증상</b>일까요? 뇌수막염 같다는분도 있어서요 4주차 5주차때 오라퀵 두번했는데 음성나왔어요  안녕하세요.... 에이즈는 보통 성관계 이후 3~6주 기간에 무<b>증상</b> 잠복기를 거치게 됩니다. 이 기간 중 발열, 기침, 통증 등 <b>감기</b>와... "
보통 <b>초기</b><b>감기</b> <b>증상</b>은 며칠 있으면 낫져?:,"안녕하세여 저번주 목요일부터 <b>감기 초기증상</b>(가끔 콧물 나오는 정도)이 나와서 저번주 금,토일 운동을 쉬었거든여 전 감기증상 있어도 약을 안 먹는데요...보통 약 안먹고 가만히 놔두면 언제쯤에야 낫나여? 기간이 정해진게 아니라 본인... "
<b>감기초기증상</b>인것같은데 빨리낫는법좀요,"... (표현력도 좋아라-_-) 그러니까 약간 맹맹한 소리가 나나봐요, 저도 살짝 그런것 같아요.ㅠ <b>감기초기 증상</b> 맞죠? 목감기인가.. 이거 어떻게 뭐 하루만에 낫는 법 없을까요? 제가 외국에 있어서 병원가기 귀찮은데=_= 끙끙 앓는건 더... "
앵무새 <b>감기 초기증상</b>,"... 최대한 빨리 답장 주세여 ㅠㅠㅠㅠㅜㅜㅠㅠㅠ 네ㅠㅠ<b>감기 초기증상</b> 이예요ㅠ 그렇게 아이가 있는 곳을 29도 정도로 해주세요ㅠㅠ 앵무새 고추씨도 먹여주시고,따뜻한 물도 주세요ㅠㅠㅠㅠ 소동물 병원에 가보시는게 제일 좋아요ㅠㅠ... "
<b>감기 초기증상</b>,코가 매우면서 이틀째 막히고 있고 목은 뭔가 부은 ? 듯한 느낌만 있지 아프지는 않거든요 이거 <b>감기 초기증상</b> 맞나요?  축농증이 의심됩니다. 이비인후과 진료받아야 합니다. 이비인후과 의원 (1차 의료 기관) 진료받아도 됩니다.
<b>감기</b>에 걸릴때 거의 한번씩은 이런<b>증상</b>,"... <b>증상</b> <b>초기</b>에는 음식을 삼킬 때 이물감이 느껴지고, 목마름과 기침 <b>증상</b>이 나타나면서 고열, 두통, 가래, 식욕부진처럼 <b>감기</b> <b>증상</b>과 비슷한 상태를 보이며, 기침이 심해지면 목소리가 쉬고 심한 염증으로 기관지 점막이 부어오르면... "
