Question,Answer
<b>결막염 증상</b>,"<b>결막염</b> 걸린 친구 눈을 손으로 비비고 제 눈에 갖다대고 비볐는데요 이렇게 되면 <b>결막염</b>에 걸리나요? 걸리면 바로 <b>증상</b>이 나타나나요? 아니면 다음날 <b>증상</b>이 나오나요?  안녕하세요. 하이닥-네이버 지식iN 상담의 구오섭 입니다. 봄, 가을과... "
아기 <b>결막염증상</b>,... 아기가 <b>결막염</b>이 걸렸을 때 면역이 떨어져 치유가 늦어질 수 있지만 진료를 보셨고 안약까지 투여 중 이니 크게 걱정하실 건 없는 것 같습니다. 만약 <b>증상</b>이 더욱 악화되거나 충혈이 계속되면 가까운 안과에 한 번 더 방문하시는 것이... 
<b>결막염 증상</b> 안약 질문,"<b>결막염 증상</b> 때문에 올로텐점안액이랑 후루손점안액 두 개를 받아왔는데요, 제가 3달전에 렌즈삽입술 수술을 했는데 두 안약 다 점안해도 문제 없나요?  안녕하세요. 하이닥-네이버 지식iN 상담의 배계종 입니다. 안내 렌즈삽입술을... "
알레르기 <b>결막염 증상</b>,병원갔는데 알레르기 <b>결막염</b> 이라는데 <b>증상</b>중에 안구건조증처럼 눈이 뻑뻑한 <b>증상</b>도 있나요?  안녕하세요. 대한의사협회·네이버 지식iN 상담의사 '솔빛드림안과' 대표원장 장문희 입니다. 알레르기 <b>결막염</b> 등 염증성 질환이 있을 때 눈이... 
광각<b>결막염</b>이 의심되는 <b>증상</b>에 대하여,... 광각<b>결막염 증상</b>을 검사 받으려면 증상이 나타날 때에만 검사를 받아야 하는지.. 광각 결막염 진단을 받으려면 어떻게 해야 하는지 알고싶습니다.. 제 지인 이야기입니다.. 현재 교도소에 수감되어 있어서 진단 및 치료에 어려움이... 
알레르기성 <b>결막염</b>,... 눈곱도 요즘 너무 끼는데 <b>결막염 증상</b>이에요?  안녕하세요. 하이닥-네이버 지식iN 상담의 이민지 입니다. 알레르기 결막염 관련 궁금한 점이 있으신 것 같습니다. 알레르기성 결막염(allergic conjunctivitis)은 눈의 결막막(conjunctiva)이... 
눈병(<b>결막염</b>) 관련 25개월 아기 <b>증상</b>,... 25개월 아이 <b>결막염 증상</b> 관련 문의드립니다. 3일전에 청소년소아과 방문해서 안약 하나랑 콧물약 하나 주셔서 먹이고 넣고 하는중인데요. 원래 한쪽만 <b>결막염 증상</b> (눈꼽)이 생겼었는데 어제부터인가 양쪽눈이 다 노랗게 앞트임부분에... 
<b>결막염증상</b>,... 눈곱과 지속적인 충혈 <b>증상</b>이 있다면 <b>결막염</b> 가능성이 있습니다. 또한 작성자분께서 렌즈를 장기간 착용하시기 때문에 해당 충혈부위 근처에 위치한 각막 부위에 신생혈관이 발생하였을 가능성도 있습니다. 따라서 가까운 안과에... 
<b>결막염 증상</b>좀,충혈없어도 <b>결막염</b>일 가능성 높나요  안녕하세요. 대한의사협회·네이버 지식iN 상담의사 전제훈 입니다. 네. <b>결막염</b>의 주된 <b>증상</b>은 충혈입니다. 하지만 심하지 않은경우 충혈이 없을수도 있습니다. 도움이 되셨으면 합니다.
<b>결막염</b>은 심각한 <b>증상</b>인가요?,"... 결막염에 결렸다고 하더라도 상태가 심하지 않는 경우에는 자연치유, 즉 회복이 되는 경우가 있을 수 있지만 매면 반복적으로 <b>결막염 증상</b>이 나타나게 되는 경우에는 최대한 렌즈를 착용하지 않거나, 착용 시간을 줄여주시는 것이 가장... "
"알레르기성 <b>결막염 증상</b> 있는데, 원인 어떻게 찾죠?... ","... <b>결막염증상</b>이 나타났을 때 바로 치료하는 특효약은 없으며 각 증상에 따른 치료를 해야합니다. 하지만 함부로 약을 사용할 경우 녹내장, 각막궤양 등의 합병증이 발생할 수 있으므로 전문의의 처방을 따르는 것이 좋습니다. 냉찜질은... "
<b>결막염증상</b>,... 밖에서 봤을 때 흐리멍텅하게 보이는 것은 <b>결막염</b>과 직접적인 관련은 없습니다. 다만 본인이 볼 때 흐릿하게 보이거나 뿌옇게 보이는 <b>증상</b>이 있다면 안과에서 진료를 받고 확인해보는 것이 좋을 것 같습니다. 각막 혼탁이 있을 수... 
<b>결막염</b> 물놀이,... <b>결막염 증상</b>이 있다면 렌즈 사용은 금해주시길 바랍니다. 물에 들어가면 감염 유발이 될 수 있어 물이 닿지 않게 관리해 주시는 것이 좋겠습니다. 부득이할 경우 수영 안경을 착용하시는 것도 좋겠습니다. <b>결막염 증상</b>이 있다면 안과... 
<b>결막염 증상</b>,... 같은게 나오는거 보면 <b>결막염</b> 같긴한데 문제는 하얀 눈꼽실이 무슨 몇분간격으로 계속 나와서..혹시 <b>결막염</b>이 원래 이렇나요?? 네. 정도가 심하면 자주 나올수 있어요. 자세한건 안과에 가서 검사 후 의사에게 진단 받으세요. 
<b>결막염 증상</b>,제가 어제 학원 끝나고 거울을 보는데 눈이 충혈 돼 있어서 금방 갈아앉겠지 했는데 자고 일어나도 계속 충혈되고 약간 뻐끈한 것 같기도 해요 <b>결막염</b>일까요??  안녕하세요. 하루가 지나도 충혈이 남아 있다면 각<b>결막염</b>의심하 안과에서... 
<b>결막염</b> 안약 투하,... 하이닥-네이버 지식iN 상담의 류익희 입니다. 피곤함 때문에 <b>결막염 증상</b>이 더 심해지는 것일 수도 있지만 다른 문제가 있는 것일 수도 있으니 혹시 시간이 되신다면 안과를 방문하여 진료를 받아보세요.
알러지성 <b>결막염 증상</b>,... 생전 이런 느낌은 처음이라 심각한 거 아닌데 저 혼자 걱정되는 게 맞나 싶어서요 ㅠㅠ  안녕하세요 안경사 서슨생입니다:_ <b>증상</b>만으로는 알러지인지는 알 수 없으나 안과전문의가 질문자님 눈 진료 후 알러지성<b>결막염</b>이라 진단했다면... 
<b>결막염</b> 걸렸는데,... 건조해서 트기도하고요. 원래 <b>결막염 증상</b>인가요?? 결막염 걸렸는데 눈 바로 아래에 다크서클같이 아토피 같은 게 빨갛게 나고 건조해서 트기도 하는 건 <b>결막염 증상</b>으로 면역력이 떨어지면 나타나는 경우가 많습니다. 
유행성<b>결막염</b>,"... 유행성 결막염이 있고 회복이 거의 되어 가는 상황에서 알레르기성 <b>결막염 증상</b>이 나타난 것 같습니다. 알레르기성 결막염은 알레르기를 유발하는 물질로 인해 가려움과 충혈, 부어오름 등의 증상이 나타날 수 있습니다. 최근... "
눈 안쪽이 뻐근한데 <b>결막염</b>일수 있나요?,여기 오른쪽 눈 안쪽으로 뻐근한 느낌이 드는데 <b>결막염</b>같은 <b>증상</b>인가요..? 안경 렌즈 다 안써요  안녕하세요. 대한의사협회·네이버 지식iN 상담의사 박진형 입니다. 눈 안쪽의 뻐근함은 <b>결막염</b>의 가능성이 있습니다. <b>결막염</b>은 결막이... 
<b>결막염</b> 렌즈,"... <b>결막염 증상</b>이 많이 호전되어 안약 사용은 하지 않으셔도 괜찮지만 치료가 끝났음에도 렌즈 착용을 2주 이후부터 하시기를 권유드리는 이유는 증상 악화, 염증 재발 등의 가능성이 있기 때문이었을 것이라고 생각됩니다. 최대한 렌즈... "
<b>결막염 증상</b>,"... 대표적으로 미세먼지 속의 오염물질 등이 눈에 흡수되게 될 경우 알레르기성 <b>결막염</b>을 일으킬 수 있는데, 눈이 가렵고 뻑뻑하거나 통증 및 눈물흘림 등과 같은 <b>증상</b>이 있으신 경우 방치하게 되면 눈에 염증이 생기면서 추후에는... "
<b>결막염 증상</b> 같은데요. 강아지 때문일까요?(잠실... ,"... <b>결막염증상</b>이 나타났을 때 바로 치료하는 특효약은 없으며 각 증상에 따른 치료를 해야합니다. 하지만 함부로 약을 사용할 경우 녹내장, 각막궤양 등의 합병증이 발생할 수 있으므로 전문의의 처방을 따르는 것이 좋습니다.... "
<b>결막염</b>인가요?,... <b>결막염 증상</b>을 빠르게 회복하기 위해서는 안과를 방문하는 것이 좋습니다. 렌즈는 회복되기 전까지는 착용을 피해주시는 것이 중요합니다. 아무거나 점안액을 사용하시는 것은 좋지 않으니 되도록이면 멀어도 안과를 방문하여... 
이거 대상포진 증상인가요? <b>결막염 증상</b>인가요?,"... 아니면 단순한 <b>결막염 증상</b>일까요? 안과를 가야하나요? 신경외과나 신경과를 가야하나요?  안녕하세요. 하이닥-네이버 지식iN 상담의 최민규 입니다. 눈가 아래가 화끈거리는 증상만 있고, 눈 자체에 문제가 없다면 안과보다는 신경과를... "
<b>결막염</b>? <b>증상</b>이 계속 돼요,감기 앓고 감기가 다 나았는데 두통과 눈이 침침하고 자갈이 있는듯해 안과를 갔더니 <b>결막염</b>으로 안약처방해주셔서... 가니 <b>결막염</b>은 다 나았다고 합니다 두통은 없는데 눈이 좀 침침하고 속이 울렁거리는데 어느 과를 가야하나요?... 
