Question,Answer
<b>위염</b> 아랫배 꾸룩,"<b>위염</b>인것같고 윗배,위 부분이 아파서 약 먹었는데도 계속 위가 아프고 아랫배도 꾸룩꾸룩 소리가 나는데 <b>위염</b>인데... 말씀하신 것들을 토대로 생각해 보았을 때 <b>위염</b>의... “<b>위염</b>”은 필요한 관리 및 치료를 하지 않으면 결국에는... "
<b>위염</b>이 있으면 설사 하나요?,"<b>위염</b>이 있으면 설사 하나요?  안녕하세요 <b>위염</b>이 있어 소화가 잘 안되면 설사를 할수 있습니다. 기능성 소화불량, <b>위염</b> 둘 다 과로와 스트레스 불규칙적인 식사습관, 자극적 음식 섭취가 많은 현대인들에게 흔한 질병입니다. <b>위염</b>의... "
<b>위염</b> 증상,위 근처가 아프고 입맛없고 막 토할것같고 막 비린음식보면 토하거 하면 <b>위염</b>증상인가요? 아니면 그냥... 임신을 하였다면 입덧 가능성이 있습니다. 그게 아니라면 <b>위염</b>이나 식도염 등도 가능성이 있습니다.
"<b>위염</b>, 역류성 식도염 약 질문",... 아니면 <b>위염</b>약인가요 2. <b>위염</b>이나 역류성 식도염은 보통 약을 7일 처방하는게 일반적인가요? 경보라베프라졸정10mg... 식도염약과 <b>위염</b>약이 같이 있습니다. 2. 보통 1주일 정도 드셔보시고 효과가 있더면 더 복용하게 됩니다. 역류성... 
민들레차 위축성<b>위염</b>,제가 검색해보니까 민들레차가 위축성<b>위염</b>에 좋다는데 먹으면 완화되는건가요? 위축성 <b>위염</b>인데 민들레차 먹어도... 말씀처럼 <b>위염</b>이나 식도염에 사용하면 효과가 있습니다. 다만 차로 드셔야지 너무 진하게 닳여서 드시는건 좋지... 
급성<b>위염</b>?,1년 전부터 <b>위염</b> 증상이 있었는데 내시경해보니까 위축성 만성<b>위염</b>이라고 하네요. 근데 증상이 갑자기 심해졌어요... 제가 <b>위염</b> 때문에 한의원에 다니고 있는데 약이 잘 안... 만성<b>위염</b> 증상이 급성으로 와서 갑자기 증상이 악화된 걸까요?... 
<b>위염</b> 치료,위내시경 결과 <b>위염</b>이 있다고 해서 한달간 <b>위염</b>약 복용한 상태입니다. 만약 한달간 약복용 했는데도 <b>위염</b>이 사라지지... <b>위염</b>만으로 복통이나 증상이 나타나지는 않습니다. 증상이 계속된다면 다른 문제가 없는지 우선 확인하고 그것이... 
<b>위염</b> 위가 너무 아픔,<b>위염</b> 4일차인데 오늘 아침에 약 먹고 술떡 꼭꼭 씹어먹었는데 먹자마자 위쪽... <b>위염</b>이 맞긴 할까요..? 너무 힘들어요ㅠㅠ  안녕하세요. 대한의사협회... 현재 증상은 <b>위염</b>의 가능성이 높습니다. 약제를 복용하고도 증상이 지속되고... 
후두염 식도염 <b>위염</b>,"제가 <b>위염</b>이 괜찮았다가 매운거 먹으면 안좋았다 반복되다 거의 1년쯤 다 되어가서 위내시경 예정입니다 <b>위염</b>이... 없습니다…<b>위염</b>으로 인해서 그런거겠죠 위궤양이나 위암은... 증상만으로는 위암과 위궤양, <b>위염</b>을 구분하기가... "
<b>위염</b> 뻥튀기,"<b>위염</b>인데 뻥튀기 먹어도 되나요 ?? 튀밥, 색깔뻥튀기, 쌀강정이 있는데 먹으면... 또 <b>위염</b>이 먹을 수 있는 과자, 과일도 알려주세요 ,, 최대한 빠르고 정확한... 잘 챙겨 먹는 것입니다. 이렇게 하면 위가 점차 튼튼해져서 <b>위염</b>도 낫겠습니다."
<b>위염</b> 상복부 통증,"<b>위염</b>인데 뭐만 먹으면 한 3,4시간동안 상복부(명치부터 배꼽 위쪽)이 진짜... 그래요ㅠㅠㅠ <b>위염</b>이 원래 이런걸까요..?  안녕하세요. 하이닥-네이버 지식iN... 증상이 <b>위염</b>이라고 하기에는 조금 심해요. 위가 깨끗하다면 복부 초음파로 담낭... "
<b>위염</b> 사랑니,제가 약 2달전에 내시경후 <b>위염</b> 진단받고 한달치 약을 먹었습니다. 그리고 <b>위염</b> 진단 후 2개월이 지난 지금 <b>위염</b>이... 약이 <b>위염</b>에 악영향을 끼친다고 하더라구요. 제가 만약 사랑니 제거후 처방 받는 약이 <b>위염</b>에 안좋은 영향을... 
<b>위염</b> 위궤양 질문,7~8년째 <b>위염</b>인데요... 중간에 위궤양 진단도 받았었습니다. 이제 일상생활이 거의 힘들 정도로 <b>위염</b> 증상이 심해진 것... 신경성 <b>위염</b>이라 스트레스를 최대한 덜 받는 게 좋다고... 다만 위궤양은 기질적 질환이지 신경성 <b>위염</b>이라고... 
<b>위염</b>약 궁금사항,<b>위염</b>으로 인해 아래 4가지 약을 처방받았는데 레보론정 ㅡ... 다른 병원에서는 <b>위염</b>약으로 가스모틴정 글립타이드정... <b>위염</b>약을 먹으면 원래 복부 통증이 잠시나마 사라지나요? <b>위염</b>약 효과. 언제쯤 상황이 나아지는지 궁금합니다.... 
"<b>위염</b>, 역류성 식도염 약",<b>위염</b>이랑 식도염 때문에 약 먹고 있는데 약이 내일 먹을 것만 남았습니다 근데... 약들은 <b>위염</b> 식도염에서 많이 쓰이기도 하니 드셔도 될 것으로 보입니다. 단... 증세가 오래 지속된다면 의료진의 촉진 및 시진 등 진찰 받으신 후 <b>위염</b>이나... 
<b>위염</b> 만성,... <b>위염</b>이 있어서 소화에 문제가 자주 일어나 맛있게 먹는 음식을 소화를 못시키니 너무 아쉬워요 질문입니다 <b>위염</b>... <b>위염</b>으로 많이 힘드실 거라 생각됩니다. <b>위염</b>약은 <b>위염</b> 초기에 급성으로 생긴 염증을 가라앉혀줍니다. 하지만... 
만성<b>위염</b> 스트레스,제가 원래 <b>위염</b>이 있는데 요즘 또 심해져서 오른쪽 가슴 통증 도 있는 것 같고... 그래서 최대한 자극적이지 않은 걸로... <b>위염</b>때문에 스 트레스를 받으니 참^^ 20살인데 위암은 아니겠죠......  나이도 어리시고 위암지표도 없으셔서 <b>위염</b>은... 
